Montreal,Griffintown Hôtel,"Downtown Montreal, Montreal","US$8,554",Deluxe Apartment,8.5,2022-05-01,2022-06-01,2,2
Montreal,Le Mount Stephen,"Downtown Montreal, Montréal","US$24,500",Deluxe Queen Room with Two Queen Beds,9.2,2022-05-01,2022-06-01,2,2
Montreal,Le Mille Neuf Furnished Apartments,"Downtown Montreal, Montréal","US$4,315",Two-Bedroom Apartment,9.3,2022-05-01,2022-06-01,2,2
Montreal,Le Square Phillips Hôtel &amp; Suites,"Downtown Montreal, Montréal","US$9,590",Family Suite,9.1,2022-05-01,2022-06-01,2,2
Montreal,Hotel Ruby Foo's,Montréal,"US$7,087",Deluxe King Room,7.6,2022-05-01,2022-06-01,2,2
Montreal,Lofts du Vieux-Port,"Old Montreal, Montréal","US$13,296",Two-Bedroom Apartment with 2 Bathrooms ,9.3,2022-05-01,2022-06-01,2,2
Montreal,Chateau Versailles,"Downtown Montreal, Montréal","US$10,381",Standard Double Room,7.6,2022-05-01,2022-06-01,2,2
Montreal,Le Petit Hotel Montreal,"Old Montreal, Montréal","US$18,874",King Room,9.2,2022-05-01,2022-06-01,2,2
Montreal,Hotel St.Thomas,"Downtown Montreal, Montréal","US$18,911",Premium Quadruple Room,8.5,2022-05-01,2022-06-01,2,2
Montreal,Hotel Nelligan,"Old Montreal, Montréal","US$20,488",King Room with Atrium View,9.2,2022-05-01,2022-06-01,2,2
Montreal,Hôtel Le Germain Montréal,"Downtown Montreal, Montréal","US$17,509",The Classic Queen,9.0,2022-05-01,2022-06-01,2,2
Montreal,Hotel Kutuma,"Plateau Mont Royal, Montréal","US$13,873",Junior Suite with One King Bed,8.8,2022-05-01,2022-06-01,2,2
Montreal,Auberge du Vieux Port,"Old Montreal, Montréal","US$19,130",Signature King Room with St. Paul Street View,9.0,2022-05-01,2022-06-01,2,2
Montreal,Le Nouvel Hotel,"Downtown Montreal, Montréal","US$9,964",Queen Room with Two Queen Beds,8.2,2022-05-01,2022-06-01,2,2
Montreal,Empire Suites,"Downtown Montreal, Montréal","US$9,524",King Suite,6.3,2022-05-01,2022-06-01,2,2
Montreal,Luxury Condo Glass house completely furnished,"Downtown Montreal, Montréal","US$4,737",Two-Bedroom Apartment,0.0,2022-05-01,2022-06-01,2,2
Montreal,Auberge Alternative,"Old Montreal, Montréal","US$1,222",Bed in 10-Bed Mixed Dormitory Room,8.5,2022-05-01,2022-06-01,2,2
Montreal,L'Appartement Hôtel,"Plateau Mont Royal, Montréal","US$8,428",Queen Studio,8.7,2022-05-01,2022-06-01,2,2
Montreal,Auberge Le Pomerol,"Downtown Montreal, Montréal","US$7,426",Economy Double Room,7.9,2022-05-01,2022-06-01,2,2
